customer_id,recency,frequency,monetary,response
CS1112,61,15,1012,0
CS1113,35,20,1490,0
CS1114,32,19,1432,1
CS1115,11,22,1659,1
CS1116,203,13,857,1
CS1117,257,17,1185,0
CS1118,2,15,1011,1
CS1119,11,15,1158,0
CS1120,10,24,1677,0
CS1121,41,26,1524,0
CS1122,42,16,1156,0
CS1123,109,19,1331,0
CS1124,73,18,1127,0
CS1125,25,12,885,0
CS1126,179,19,1165,0
CS1127,39,24,1676,0
CS1128,75,26,1921,0
CS1129,106,12,853,0
CS1130,3,19,1185,0
CS1131,20,14,998,0
CS1132,27,16,1074,0
CS1133,23,19,1413,0
CS1134,109,16,1166,0
CS1135,335,20,1267,1
CS1136,27,20,1339,0
CS1137,55,20,1380,0
CS1138,13,24,1863,0
CS1139,111,18,1245,0
CS1140,28,20,1434,0
CS1141,53,25,1778,1
CS1142,161,22,1847,1
CS1143,212,16,1255,1
CS1144,156,18,1222,0
CS1145,142,27,1967,1
CS1146,7,16,1117,0
CS1147,4,15,1004,0
CS1148,83,25,1733,1
CS1149,15,25,1768,0
CS1150,89,14,1075,0
CS1151,26,16,1040,0
CS1152,6,20,1457,0
CS1153,34,18,1274,0
CS1154,0,23,1436,0
CS1155,126,19,1317,0
CS1156,9,20,1445,0
CS1157,19,21,1427,0
CS1158,102,18,1159,0
CS1159,36,22,1439,0
CS1160,44,20,1380,1
CS1161,4,22,1389,0
CS1162,19,24,1815,0
CS1163,38,18,1290,0
CS1164,17,26,2037,0
CS1165,94,20,1335,0
CS1166,98,19,1507,0
CS1167,119,16,1132,1
CS1168,111,14,916,0
CS1169,86,18,1175,0
CS1170,3,18,1272,0
CS1171,1,22,1555,0
CS1172,258,18,1306,1
CS1173,49,21,1429,1
CS1174,23,23,1554,0
CS1175,52,17,1106,0
CS1176,29,18,1401,0
CS1177,38,17,1310,0
CS1178,31,22,1535,0
CS1179,46,29,2091,0
CS1180,54,23,1637,0
CS1181,57,27,1893,0
CS1182,102,24,1749,1
CS1183,12,26,1967,0
CS1184,0,28,1999,0
CS1185,11,27,1801,0
CS1186,52,19,1439,0
CS1187,22,22,1559,0
CS1188,4,16,1010,0
CS1189,63,23,1564,0
CS1190,40,18,1324,0
CS1191,66,21,1522,1
CS1192,38,18,1313,0
CS1193,283,15,953,0
CS1194,9,22,1505,0
CS1195,20,20,1378,0
CS1196,1,23,1559,0
CS1197,161,17,1180,0
CS1198,11,22,1571,0
CS1199,124,20,1344,0
CS1200,170,21,1667,0
CS1201,52,19,1375,0
CS1202,54,20,1331,0
CS1203,48,21,1536,1
CS1204,47,17,1023,0
CS1205,3,17,1103,0
CS1206,157,24,1514,0
CS1207,39,18,1310,0
CS1208,35,15,1000,0
CS1209,2,27,1809,0
CS1210,98,21,1546,0
CS1211,57,18,1218,0
CS1212,158,17,1200,0
CS1213,127,18,1191,0
CS1214,7,19,1289,0
CS1215,133,35,2362,0
CS1216,139,24,1798,0
CS1217,77,20,1431,0
CS1218,37,24,1687,0
CS1219,4,21,1447,0
CS1220,20,9,720,0
CS1221,163,19,1372,0
CS1222,45,21,1585,0
CS1223,53,17,1299,0
CS1224,115,8,578,0
CS1225,47,17,999,0
CS1226,54,18,1213,0
CS1227,25,27,1783,0
CS1228,46,19,1368,0
CS1229,27,19,1194,0
CS1230,5,20,1415,0
CS1231,154,23,1750,0
CS1232,95,20,1452,0
CS1233,115,21,1374,1
CS1234,4,21,1349,0
CS1235,141,22,1507,1
CS1236,42,22,1668,0
CS1237,200,24,1823,0
CS1238,20,26,1808,0
CS1239,252,11,771,0
CS1240,3,30,2126,0
CS1241,28,27,1818,0
CS1242,59,13,943,0
CS1243,38,17,1087,0
CS1244,141,21,1492,0
CS1245,72,19,1321,0
CS1246,295,20,1431,0
CS1247,28,28,1773,1
CS1248,9,17,1172,0
CS1249,89,23,1846,0
CS1250,12,24,1625,0
CS1251,2,14,1035,0
CS1252,107,18,1411,0
CS1253,74,17,1399,1
CS1254,3,21,1599,0
CS1255,67,29,1998,0
CS1256,213,19,1304,0
CS1257,25,15,1050,0
CS1258,25,22,1458,0
CS1259,168,22,1679,1
CS1260,146,26,1941,0
CS1261,87,26,1943,0
CS1262,84,16,1040,0
CS1263,3,14,1096,0
CS1264,3,12,959,0
CS1265,51,14,1128,0
CS1266,39,15,1076,0
CS1267,110,26,1812,0
CS1268,65,27,1946,0
CS1269,68,19,1272,0
CS1270,27,27,1990,0
CS1271,35,25,1683,0
CS1272,17,19,1279,0
CS1273,27,25,1800,0
CS1274,5,20,1381,0
CS1275,0,18,1321,0
CS1276,27,21,1505,0
CS1277,88,17,1142,0
CS1278,109,22,1572,0
CS1279,47,21,1411,0
CS1280,13,21,1262,0
CS1281,12,23,1715,0
CS1282,132,15,1014,0
CS1283,19,22,1683,0
CS1284,5,24,1836,0
CS1285,25,24,1778,0
CS1286,68,21,1511,1
CS1287,190,20,1440,0
CS1288,251,17,1125,0
CS1289,3,19,1355,0
CS1290,96,20,1625,0
CS1291,0,15,1006,0
CS1292,21,18,1307,0
CS1293,74,21,1625,1
CS1294,34,30,2129,0
CS1295,3,22,1487,0
CS1296,12,21,1505,0
CS1297,64,12,765,0
CS1298,44,21,1561,0
CS1299,100,21,1552,1
CS1300,7,18,1309,0
CS1301,25,19,1250,0
CS1302,30,19,1278,0
CS1303,42,22,1634,1
CS1304,79,15,874,0
CS1305,105,16,1031,0
CS1306,4,15,1153,0
CS1307,73,18,1220,0
CS1308,18,21,1487,0
CS1309,64,12,761,0
CS1310,120,15,1103,1
CS1311,34,18,1129,0
CS1312,18,16,1353,1
CS1313,11,29,2072,0
CS1314,519,13,891,0
CS1315,74,15,1030,0
CS1316,29,26,1726,0
CS1317,18,16,1146,0
CS1318,16,22,1693,0
CS1319,88,18,1161,0
CS1320,12,18,1382,0
CS1321,0,21,1668,0
CS1322,5,26,1964,0
CS1323,125,23,1595,0
CS1324,208,24,1611,1
CS1325,203,18,1209,0
CS1326,24,27,1940,0
CS1327,14,23,1525,0
CS1328,218,15,1043,0
CS1329,122,17,1158,0
CS1330,27,23,1750,0
CS1331,10,15,1170,0
CS1332,130,29,2010,0
CS1333,46,8,625,0
CS1334,79,25,1781,0
CS1335,121,17,1157,0
CS1336,108,24,1696,0
CS1337,36,22,1668,0
CS1338,19,18,1436,0
CS1339,59,23,1680,0
CS1340,126,20,1506,0
CS1341,68,13,1038,0
CS1342,1,16,1326,0
CS1343,67,21,1489,0
CS1344,24,25,1638,1
CS1345,100,18,1193,0
CS1346,167,15,1072,0
CS1347,4,30,2000,0
CS1348,58,22,1583,0
CS1349,16,16,1086,0
CS1350,32,27,1996,1
CS1351,122,21,1505,0
CS1352,40,20,1424,0
CS1353,205,19,1408,0
CS1354,407,16,1324,0
CS1355,48,23,1507,1
CS1356,80,24,1740,0
CS1357,153,26,1775,0
CS1358,11,19,1408,0
CS1359,20,16,1145,0
CS1360,42,18,1282,0
CS1361,17,19,1470,0
CS1362,6,23,1703,0
CS1363,201,24,1632,0
CS1364,66,27,1864,0
CS1365,17,19,1225,0
CS1366,27,22,1493,0
CS1367,67,29,2146,0
CS1368,4,15,960,0
CS1369,46,25,1746,0
CS1370,141,26,1864,1
CS1371,159,22,1496,0
CS1372,278,19,1412,1
CS1373,85,30,1967,0
CS1374,164,19,1357,0
CS1375,127,17,1165,0
CS1376,34,25,1512,0
CS1377,143,18,1505,0
CS1378,25,25,1671,0
CS1379,136,15,1134,0
CS1380,16,26,1857,0
CS1381,389,22,1449,0
CS1382,4,25,1845,0
CS1383,115,25,1878,0
CS1384,12,17,964,0
CS1385,5,22,1478,1
CS1386,71,14,998,0
CS1387,127,18,1238,0
CS1388,30,19,1275,0
CS1389,19,18,1189,0
CS1390,44,19,1210,0
CS1391,4,25,1584,0
CS1392,74,17,1227,0
CS1393,99,19,1437,1
CS1394,5,28,2046,0
CS1395,14,22,1704,0
CS1396,31,25,1852,0
CS1397,166,30,2156,0
CS1398,29,20,1354,1
CS1399,23,26,1832,1
CS1400,76,18,1193,1
CS1401,14,30,2023,0
CS1402,30,22,1660,0
CS1403,43,22,1652,1
CS1404,50,28,1900,0
CS1405,19,26,1943,0
CS1406,14,27,1842,0
CS1407,13,28,1916,1
CS1408,241,17,1214,0
CS1409,86,24,1464,0
CS1410,59,15,1160,0
CS1411,56,17,1222,0
CS1412,15,22,1599,1
CS1413,59,19,1396,0
CS1414,153,20,1437,0
CS1415,74,27,1752,0
CS1416,12,20,1513,0
CS1417,50,15,1076,0
CS1418,150,14,1053,0
CS1419,0,27,1915,0
CS1420,81,25,1923,1
CS1421,59,27,1896,0
CS1422,5,15,1211,0
CS1423,55,20,1182,0
CS1424,10,24,1753,0
CS1425,71,23,1688,0
CS1426,21,21,1538,0
CS1427,7,15,985,0
CS1428,85,25,1948,1
CS1429,132,18,1261,0
CS1430,13,21,1440,0
CS1431,12,18,1257,0
CS1432,3,19,1362,0
CS1433,39,20,1468,0
CS1434,11,27,1758,0
CS1435,46,25,1700,0
CS1436,59,14,977,0
CS1437,28,12,880,0
CS1438,36,20,1374,0
CS1439,34,16,1160,0
CS1440,101,22,1577,0
CS1441,68,20,1351,0
CS1442,8,20,1225,0
CS1443,53,24,1876,1
CS1444,35,23,1756,0
CS1445,2,23,1526,0
CS1446,13,15,991,0
CS1447,5,14,1001,0
CS1448,39,16,1239,0
CS1449,2,20,1402,0
CS1450,24,20,1251,0
CS1451,20,22,1715,0
CS1452,108,15,941,0
CS1453,132,22,1640,0
CS1454,20,17,1126,0
CS1455,2,18,1301,0
CS1456,204,20,1363,0
CS1457,91,15,929,0
