customer_id,trans_date,tran_amount
CS5295,2013-02-11,35
CS4768,2015-03-15,39
CS2122,2013-02-26,52
CS1217,2011-11-16,99
CS1850,2013-11-20,78
CS5539,2014-03-26,81
CS2724,2012-02-06,93
CS5902,2015-01-30,89
CS6040,2013-01-08,76
CS3802,2013-08-20,75
CS3494,2013-07-02,94
CS3780,2013-03-25,80
CS1171,2012-11-03,59
CS2892,2013-05-12,43
CS5552,2014-12-29,78
CS6043,2014-01-15,98
CS4147,2013-07-08,81
CS4655,2013-12-30,93
CS3904,2014-07-20,103
CS4102,2011-07-09,96
CS2086,2013-03-05,75
CS6085,2013-01-09,49
CS1328,2013-02-06,54
CS4564,2012-03-27,48
CS5910,2012-01-01,98
CS2748,2013-03-23,37
CS5147,2013-04-29,72
CS1770,2012-11-02,83
CS3510,2011-10-24,81
CS2509,2011-12-05,105
CS2859,2015-02-27,77
CS1512,2015-02-21,71
CS4148,2013-08-22,48
CS1735,2012-03-31,70
CS1588,2012-01-27,70
CS5514,2013-01-09,36
CS5933,2013-10-07,48
CS2797,2014-03-06,87
CS5313,2012-12-02,88
CS5966,2012-03-09,39
CS5211,2014-05-18,51
CS1511,2015-01-13,47
CS6087,2014-11-24,37
CS5909,2012-02-04,80
CS2845,2013-03-08,105
CS1433,2012-11-05,78
CS4897,2014-04-12,45
CS2296,2012-12-28,79
CS1494,2013-06-29,59
CS3688,2014-06-19,55
CS2287,2011-12-23,94
CS3779,2011-06-26,69
CS1423,2014-06-05,78
CS2501,2012-11-14,59
CS3434,2013-02-22,98
CS2662,2014-08-31,88
CS2209,2012-03-12,35
CS4530,2011-06-05,40
CS2848,2013-02-04,53
CS2596,2011-09-19,55
CS4421,2012-05-20,86
CS4905,2012-04-13,93
CS5704,2011-12-04,79
CS2403,2014-07-27,94
CS5480,2012-01-28,63
CS5811,2013-08-23,91
CS2051,2014-12-09,101
CS3957,2012-08-30,69
CS4704,2014-11-25,41
CS2289,2012-05-19,67
CS5218,2014-06-21,45
CS4637,2011-05-20,71
CS3158,2012-05-06,91
CS4176,2012-07-30,49
CS1939,2011-11-25,101
CS5403,2011-12-01,64
CS5489,2014-12-02,77
CS4563,2011-05-30,101
CS3508,2012-05-23,67
CS2703,2014-10-12,40
CS2596,2013-05-01,76
CS5990,2012-10-19,103
CS4215,2011-07-09,54
CS4811,2012-01-26,77
CS2070,2013-01-30,41
CS3419,2015-01-29,38
CS3668,2014-08-14,102
CS4623,2013-09-27,89
CS4708,2013-07-02,48
CS1816,2013-09-22,64
CS5376,2013-12-08,44
CS4568,2011-11-15,70
CS1779,2012-01-27,53
CS2447,2011-07-10,82
CS1985,2011-08-16,87
CS2544,2011-11-07,64
CS2158,2012-09-11,89
CS5776,2014-09-09,87
CS5653,2013-09-04,98
CS2291,2014-10-15,67
CS6088,2012-10-29,48
CS4245,2014-06-02,102
CS3344,2014-07-02,56
CS1481,2013-12-23,50
CS5400,2011-12-23,56
CS5463,2014-08-27,91
CS5951,2014-08-07,104
CS5515,2012-02-19,41
CS3039,2012-05-01,92
CS1836,2012-03-24,63
CS4320,2014-04-09,52
CS4889,2011-12-01,38
CS1319,2011-09-26,95
CS4859,2015-01-07,50
CS4148,2014-02-08,40
CS5264,2013-04-03,81
CS4041,2014-12-29,49
CS2183,2013-01-04,39
CS2516,2015-02-15,55
CS1890,2012-11-03,37
CS3730,2013-02-11,89
CS5382,2013-03-07,48
CS5970,2014-06-13,40
CS5260,2015-01-30,46
CS2437,2011-11-13,90
CS4675,2011-09-11,67
CS2920,2011-10-11,87
CS2548,2013-09-28,73
CS1818,2011-12-26,46
CS6098,2012-09-28,42
CS2712,2011-12-26,65
CS2714,2011-12-14,69
CS2615,2013-08-17,39
CS5445,2014-07-27,72
CS5812,2014-11-02,62
CS4636,2013-09-22,66
CS3147,2014-06-04,84
CS1273,2012-02-01,91
CS4243,2011-11-11,48
CS2357,2012-04-13,71
CS1776,2014-05-03,79
CS5643,2013-03-02,104
CS4522,2015-03-06,82
